Gender,Budget,FreeTime,TimeAtHome,Living,PreferQuietPet,Allergies,PetChoice
Male,2000,1,2,Apartment,1,0,Cat
Female,5000,2,5,House,0,1,Dog
Male,3000,3,6,Condo,1,0,Hamster
Female,1500,4,3,House,0,0,Fish
Male,4000,5,4,Apartment,1,1,Snake
Female,2000,1,2,Apartment,1,0,Cat
Male,5000,2,5,House,0,1,Dog
Female,3000,3,6,Condo,1,0,Hamster
Male,1500,4,3,House,0,0,Fish
Female,4000,5,4,Apartment,1,1,Snake
Male,2000,1,2,Apartment,1,0,Cat
Female,5000,2,5,House,0,1,Dog
Male,3000,3,6,Condo,1,0,Hamster
Female,1500,4,3,House,0,0,Fish
Male,4000,5,4,Apartment,1,1,Snake
Female,2000,1,2,Apartment,1,0,Cat
Male,5000,2,5,House,0,1,Dog
Female,3000,3,6,Condo,1,0,Hamster
Male,1500,4,3,House,0,0,Fish
Female,4000,5,4,Apartment,1,1,Snake
Male,2000,1,2,Apartment,1,0,Cat
Female,5000,2,5,House,0,1,Dog
Male,3000,3,6,Condo,1,0,Hamster
Female,1500,4,3,House,0,0,Fish
Male,4000,5,4,Apartment,1,1,Snake
Female,2000,1,2,Apartment,1,0,Cat
Male,5000,2,5,House,0,1,Dog
Female,3000,3,6,Condo,1,0,Hamster
Male,1500,4,3,House,0,0,Fish
Female,4000,5,4,Apartment,1,1,Snake
Male,2000,1,2,Apartment,1,0,Cat
Female,5000,2,5,House,0,1,Dog
Male,3000,3,6,Condo,1,0,Hamster
Female,1500,4,3,House,0,0,Fish
Male,4000,5,4,Apartment,1,1,Snake
Female,2000,1,2,Apartment,1,0,Cat
Male,5000,2,5,House,0,1,Dog
Female,3000,3,6,Condo,1,0,Hamster
Male,1500,4,3,House,0,0,Fish
Female,4000,5,4,Apartment,1,1,Snake
Male,2000,1,2,Apartment,1,0,Cat
Female,5000,2,5,House,0,1,Dog
Male,3000,3,6,Condo,1,0,Hamster
Female,1500,4,3,House,0,0,Fish
Male,4000,5,4,Apartment,1,1,Snake
Female,2000,1,2,Apartment,1,0,Cat
Male,5000,2,5,House,0,1,Dog
Female,3000,3,6,Condo,1,0,Hamster
Male,1500,4,3,House,0,0,Fish
Female,4000,5,4,Apartment,1,1,Snake
Male,2000,1,2,Apartment,1,0,Cat
Female,5000,2,5,House,0,1,Dog
Male,3000,3,6,Condo,1,0,Hamster
Female,1500,4,3,House,0,0,Fish
Male,4000,5,4,Apartment,1,1,Snake
Female,2000,1,2,Apartment,1,0,Cat
Male,5000,2,5,House,0,1,Dog
Female,3000,3,6,Condo,1,0,Hamster
Male,1500,4,3,House,0,0,Fish
Female,4000,5,4,Apartment,1,1,Snake
Male,2000,1,2,Apartment,1,0,Cat
Female,5000,2,5,House,0,1,Dog
Male,3000,3,6,Condo,1,0,Hamster
Female,1500,4,3,House,0,0,Fish
Male,4000,5,4,Apartment,1,1,Snake
Female,2000,1,2,Apartment,1,0,Cat
Male,5000,2,5,House,0,1,Dog
Female,3000,3,6,Condo,1,0,Hamster
Male,1500,4,3,House,0,0,Fish
Female,4000,5,4,Apartment,1,1,Snake
Male,2000,1,2,Apartment,1,0,Cat
Female,5000,2,5,House,0,1,Dog
Male,3000,3,6,Condo,1,0,Hamster
Female,1500,4,3,House,0,0,Fish
Male,4000,5,4,Apartment,1,1,Snake
Female,2000,1,2,Apartment,1,0,Cat
Male,5000,2,5,House,0,1,Dog
Female,3000,3,6,Condo,1,0,Hamster
Male,1500,4,3,House,0,0,Fish
Female,4000,5,4,Apartment,1,1,Snake
Male,2000,1,2,Apartment,1,0,Cat
Female,5000,2,5,House,0,1,Dog
Male,3000,3,6,Condo,1,0,Hamster
Female,1500,4,3,House,0,0,Fish
Male,4000,5,4,Apartment,1,1,Snake
Female,2000,1,2,Apartment,1,0,Cat
Male,5000,2,5,House,0,1,Dog
Female,3000,3,6,Condo,1,0,Hamster
Male,1500,4,3,House,0,0,Fish
Female,4000,5,4,Apartment,1,1,Snake
Male,2000,1,2,Apartment,1,0,Cat
Female,5000,2,5,House,0,1,Dog
Male,3000,3,6,Condo,1,0,Hamster
Female,1500,4,3,House,0,0,Fish
Male,4000,5,4,Apartment,1,1,Snake
Female,2000,1,2,Apartment,1,0,Cat
Male,5000,2,5,House,0,1,Dog
Female,3000,3,6,Condo,1,0,Hamster
Male,1500,4,3,House,0,0,Fish
Female,4000,5,4,Apartment,1,1,Snake
